nodes,edges,instance,beta,n_nodes,value,time
100,100,2,1,42,2335,156.803
100,100,2,1.2,42,2335,144.667
100,100,2,1.4,42,2335,156.578
100,100,2,1.6,42,2335,138.033
100,100,2,1.8,42,2335,201.415
100,100,2,2,42,2335,198.023
100,100,3,0.2,39,2311,143.983
100,100,3,0.4,39,2311,218.69
100,100,3,0.6,39,2311,224.409
100,100,3,0.8,39,2311,148.219
100,100,3,1,39,2311,192.449
100,100,3,1.2,39,2311,199.498
100,100,3,1.4,39,2311,141.388
100,100,3,1.6,39,2311,166.877
100,100,3,1.8,39,2311,214.951
100,100,3,2,39,2321,187.369
100,100,4,0.2,39,2336,175.216
100,100,4,0.4,39,2298,175.813
100,100,4,0.6,39,2298,225.237
100,100,4,0.8,39,2298,171.345
100,100,4,1,38,2355,186.2
100,100,4,1.2,40,2309,148.648
100,100,4,1.4,40,2309,155.165
100,100,4,1.6,39,2298,164.054
100,100,4,1.8,39,2336,266.303
100,100,4,2,39,2336,374.993
100,100,5,0.2,43,2189,180.978
100,100,5,0.4,43,2189,175.696
100,100,5,0.6,43,2189,178.51
100,100,5,0.8,43,2189,145.226
100,100,5,1,43,2189,165.464
100,100,5,1.2,43,2189,180.45
100,100,5,1.4,43,2189,161.081
100,100,5,1.6,43,2189,150.424
100,100,5,1.8,43,2189,221.579
100,100,5,2,43,2189,261.658
100,100,6,0.2,42,2553,143.86
100,100,6,0.4,42,2553,193.253
100,100,6,0.6,42,2553,150.709
100,100,6,0.8,42,2579,170.129
100,100,6,1,42,2553,166.274
100,100,6,1.2,42,2553,178.7
100,100,6,1.4,42,2550,159.583
100,100,6,1.6,42,2553,161.172
100,100,6,1.8,42,2580,406.26
100,100,6,2,42,2553,212.982
100,100,7,0.2,40,2133,142.296
100,100,7,0.4,40,2122,201.216
100,100,7,0.6,40,2133,167.952
100,100,7,0.8,40,2133,150.635
100,100,7,1,40,2154,131.109
100,100,7,1.2,40,2133,186.671
100,100,7,1.4,40,2133,138.943
100,100,7,1.6,40,2133,140.641
100,100,7,1.8,40,2133,195.37
100,100,7,2,40,2122,226.523
100,100,8,0.2,43,2662,331.403
100,100,8,0.4,43,2662,335.752
100,100,8,0.6,43,2662,149.84
100,100,8,0.8,43,2695,252.968
100,100,8,1,43,2695,510.983
100,100,8,1.2,43,2662,251.802
100,100,8,1.4,44,2712,157.785
100,100,8,1.6,42,2693,512.338
100,100,8,1.8,43,2662,241.555
100,100,8,2,43,2662,225.678
100,100,9,0.2,39,2276,289.559
100,100,9,0.4,41,2286,334.328
100,100,9,0.6,39,2245,263.436
100,100,9,0.8,41,2286,183.746
100,100,9,1,40,2269,275.209
100,100,9,1.2,42,2268,289.534
100,100,9,1.4,41,2255,177.556
100,100,9,1.6,41,2224,291.958
100,100,9,1.8,41,2286,429.351
100,100,9,2,42,2268,197.079
100,100,10,0.2,42,2428,155.676
100,100,10,0.4,42,2428,161.646
100,100,10,0.6,42,2428,159.413
100,100,10,0.8,42,2428,150.721
100,100,10,1,42,2428,168.921
100,100,10,1.2,42,2428,153.47
100,100,10,1.4,42,2428,171.319
100,100,10,1.6,42,2428,158.13
100,100,10,1.8,42,2428,254.306
100,100,10,2,42,2428,254.655
100,250,1,0.2,60,3883,383.328
100,250,1,0.4,60,3883,622.851
100,250,1,0.6,60,3883,394.414
100,250,1,0.8,60,3883,528.293
100,250,1,1,60,3883,471.431
100,250,1,1.2,60,3883,375.519
100,250,1,1.4,60,3883,441.725
100,250,1,1.6,60,3883,285.928
100,250,1,1.8,61,3913,531.298
100,250,1,2,60,3883,362.984
100,250,2,0.2,61,3926,790.674
100,250,2,0.4,60,3842,1320.99
100,250,2,0.6,60,3842,953.612
100,250,2,0.8,60,3842,659.638
100,250,2,1,61,3917,762.772
100,250,2,1.2,61,3845,992.192
100,250,2,1.4,60,3842,709.551
100,250,2,1.6,61,3917,791.935
100,250,2,1.8,62,3920,472.547
100,250,2,2,61,3845,285.658
100,250,3,0.2,61,3740,263.46
100,250,3,0.4,62,3762,272.555
100,250,3,0.6,61,3742,275.227
100,250,3,0.8,62,3762,295.81
100,250,3,1,62,3762,459.716
100,250,3,1.2,62,3762,281.932
100,250,3,1.4,62,3762,402.177
